LEI,Entity.LegalName,Entity.LegalAddress.City,Entity.LegalAddress.Country,Registration.RegistrationStatus
0292001957C2T2DH2C82,INFINITY TRUST MORTGAGE BANK PLC,ABUJA,NG,LAPSED
0292001968C0R2Y6I295,EL-ELYON ALLIANCE AND SECURITIES LIMITED,LAGOS,NG,LAPSED
0292001972C8T4ZC2I30,TYNDALE SECURITIES LIMITED,LAGOS,NG,LAPSED
0292001987H9L5UH7J52,HEARTBEAT INVESTMENT LIMITED,LAGOS,NG,LAPSED
0292001997C8L2YH2I58,READINGS INVESTMENTS LIMITED,LAGOS,NG,LAPSED
0292002003B5D1F3B500,NIGERIAN BREWERIES PLC,LAGOS,NG,ANNULLED
0292002018G5L0UI6F40,CORNERSTONE INSURANCE PLC,LAGOS,NG,LAPSED
0292002026C7P9WG2H69,UACN PROPERTY DEVELOPMENT COMPANY PLC,LAGOS,NG,LAPSED
0292002038A3S2DI0D77,FINMAL FINANCE SERVICES LIMITED,ABUJA,NG,LAPSED
0292002048G2Q3XI6C20,NOVA FINANCE AND SECURITIES LIMITED,LAGOS,NG,LAPSED
0292002058F3N8DI5D68,INTEGRATED TRUST AND INVESTMENT LIMITED,LAGOS,NG,LAPSED
0292002067E3RH4D8768,UNITED BANK FOR AFRICA PLC,LAGOS,NG,ISSUED
0292002076G9S2G6J956,CAPITAL HOTELS PLC,ABUJA,NG,LAPSED
0292002087D4NH3E6743,FLOUR MILLS OF NIGERIA PLC,LAGOS,NG,ISSUED
029200208G8P7WI6I763,WSTC FINANCIAL SERVICES LIMITED,LAGOS,NG,ISSUED
0292002098B6I1G8B633,Securities Africa Limited,Hamilton,BM,LAPSED
0292002102E1R1UC4B30,AB MICROFINANCE BANK NIGERIA LIMITED,LAGOS,NG,LAPSED
0292002116J2L2G9C548,NETWORTH SECURITIES AND FINANCE LIMITED,LAGOS,NG,ISSUED
0292002125E9P7ZF4J46,PAC SECURITIES LIMITED,LAGOS,NG,ISSUED
0292002138H8MI7I6835,ARBICO PLC,LAGOS,NG,ISSUED
0292002147B1QH1B8701,AFRICAN ALLIANCE INSURANCE PLC,LAGOS,NG,ANNULLED
0292002158E0MI4A6894,R T BRISCOE NIGERIA PLC,LAGOS,NG,LAPSED
0292002168G0R1WI6A59,CONSOLIDATED HALLMARK INSURANCE PLC,LAGOS,NG,ISSUED
0292002173F4KD5E5347,NESTLE NIGERIA PLC,LAGOS,NG,ISSUED
0292002188G7K0UI6H93,C I LEASING PLC,LAGOS,NG,LAPSED
029200218B6P4D8I1G47,MERISTEM STOCKBROKERS LIMITED,LAGOS,NG,ISSUED
0292002192H7C7H2H732,GUINNESS NIGERIA PLC,IKEJA,NG,ISSUED
0292002207B1QH1B8722,AFRICAN ALLIANCE INSURANCE PLC,LAGOS,NG,LAPSED
0292002213B5D1F3B525,NIGERIAN BREWERIES PLC,LAGOS,NG,LAPSED
0292002223E9K7BD4J19,AFRICA PRUDENTIAL PLC,LAGOS,NG,ISSUED
029200222D9S2BC3J917,CARDINALSTONE SECURITIES LIMITED,LAGOS,NG,ISSUED
0292002246D7PG3H7691,LIVESTOCK FEEDS PLC,LAGOS,NG,ISSUED
0292002255H8L2CF7I74,DUNN LOREN MERRIFIELD SECURITIES LIMITED,MARINA,NG,LAPSED
0292002268F4K6ZI5E69,AGRO TRADERS LIMITED,AKURE,NG,LAPSED
0292002270F2T5DA5C33,PLANTATION INDUSTRIES LIMITED,AKURE,NG,ISSUED
0292002282G8R2C6I885,PORTLAND PAINTS AND PRODUCTS NIGERIA PLC,LAGOS,NG,LAPSED
0292002296E7G4H6E736,UAC OF NIGERIA PLC,LAGOS,NG,ISSUED
029200230F6K6Z1F5G39,LEADWAY CAPITAL AND TRUSTS LIMITED/SIM CAPITAL ALLIANCE VALUE FUND,LAGOS,NG,LAPSED
0292002317A4R1YH0E14,SUNTRUST BANK NIGERIA LIMITED,VICTORIA ISLAND,NG,LAPSED
0292002322D4KC3E5246,AIICO INSURANCE PLC,VICTORIA ISLAND,NG,ISSUED
0292002365F8L0XF5I46,ETRANZACT INTERNATIONAL PLC,VICTORIA ISLAND,NG,ISSUED
029200237D6N4H3G6E37,NEWDEVCO INVESTMENT AND SECURITIES COMPANY LIMITED,KADUNA,NG,LAPSED
029200238F8L0Z95I549,DANGOTE FLOUR MILLS PLC,LAGOS,NG,LAPSED
029200239B8P7V6L1I90,PARTHIAN PARTNERS LIMITED,LAGOS,NG,ISSUED
0292002400F3TA5D9063,AIC LIMITED,IBADAN,NG,LAPSED
0292002418B9S5C6I144,ARM INVESTMENT MANAGERS LIMITED,IKOYI,NG,ISSUED
0292002422D9O3VC3J74,CARDINALSTONE PARTNERS LIMITED,IKOYI,NG,ISSUED
029200243B7R7U7F1H07,ELIXIR ASSET MANAGEMENT LIMITED,LAGOS,NG,LAPSED
029200244B7K4Y2I1H10,ELIXIR SECURITIES LIMITED,LAGOS,NG,LAPSED
029200245E7L24H5CE39,LINKUP INVESTMENTS LIMITED,IBADAN,NG,LAPSED
029200246B8T4Z2E1I05,ELIXIR INVESTMENT PARTNERS LIMITED,VICTORIA ISLAND,NG,LAPSED
029200247V0K1R7A5B02,SHELL NIG. CLOSED PENSION FUND ADMINISTRATOR LTD,LAGOS,NG,LAPSED
0292002488F5RI5F8875,BERGER PAINTS NIGERIA PLC,IKEJA,NG,ISSUED
029200248G4K0AI6E516,MAGNARTIS FINANCE AND INVESTMENT LTD,LAGOS,NG,ISSUED
0292002507C4T7VH2E72,AMNI INTERNATIONAL PETROLEUM DEVELOPMENT COMPANY LIMITED,LAGOS,NG,LAPSED
0292002518C1T1Z3I205,INVESTAT CAPITAL MANAGEMENT LIMITED,LEKKI,NG,LAPSED
0292002520F7S7YA5H95,VETIVA FUND MANAGERS LIMITED,LAGOS,NG,ISSUED
0292002536B2P9XG1C30,FIRST CITY ASSET MANAGEMENT LIMITED,LAGOS,NG,ISSUED
0292002546E2L9YG4C16,WEBB ENERGY LIMITED,ABUJA,NG,LAPSED
0292002558B1M4D4I186,NSL CAPITAL PARTNERS LIMITED,LAGOS ISLAND,NG,LAPSED
029200256B5R1D1G1F13,COMERCIO PARTNERS,VICTORIA ISLAND,NG,ISSUED
029200257B5S7X3J1F35,COMERCIO PARTNERS ASSET MANAGEMENT,VICTORIA ISLAND EXTENSION,NG,ISSUED
0292002583C6S2ZD2G22,VETIVA SECURITIES LIMITED,LAGOS,NG,ISSUED
